Classification Name,Classification Code,Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Belgium,BEL,0.347,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Belize,BLZ,1.009,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Benin,BEN,1.721,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bermuda,BMU,0.387,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bhutan,BTN,0.753,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bolivia,BOL,0.624,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bonaire,BON,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bosnia and Herzegovina,BIH,0.487,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Botswana,BWA,0.274,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Brazil,BRA,0.634,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,British Virgin Islands,VGB,0.358,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Brunei Darussalam,BRN,0.772,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bulgaria,BGR,0.576,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Burkina Faso,BFA,1.997,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Burundi,BDI,3.412,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Cabo Verde,CPV,0.753,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Cambodia,KHM,0.933,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Cameroon,CMR,1.128,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Canada,CAN,0.451,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Cayman Islands,CYM,0.469,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Central African Republic,CAF,2.761,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Chad,TCD,1.458,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Chile,CHL,0.491,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,China,CHN,0.935,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Colombia,COL,0.645,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Comoros,COM,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Congo, Dem. Rep.",COD,1.878,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Congo, Rep.",COG,1.52,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Costa Rica,CRI,0.642,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Côte d'Ivoire,CIV,1.038,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Croatia,HRV,0.481,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Curacao,CUW,0.549,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Cyprus,CYP,0.468,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Czech Republic,CZE,0.384,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Denmark,DNK,0.348,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Djibouti,DJI,1.167,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Dominica,DMA,0.87,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Dominican Republic,DOM,0.455,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,East Asia & Pacific,EAS,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Ecuador,ECU,0.65,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Egypt, Arab Rep.",EGY,0.286,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,El Salvador,SLV,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Equatorial Guinea,GNQ,0.365,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Estonia,EST,0.372,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Eswatini,SWZ,0.562,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Ethiopia,ETH,2.188,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Europe & Central Asia,ECS,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Fiji,FJI,0.468,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Finland,FIN,0.358,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,France,FRA,0.373,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Gabon,GAB,0.773,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Gambia, The",GMB,1.167,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Germany,DEU,0.384,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Ghana,GHA,2.288,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Greece,GRC,0.345,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Grenada,GRD,0.67,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Guinea,GIN,0.995,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Guinea-Bissau,GNB,0.893,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Guyana,GUY,1.179,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Haiti,HTI,1.476,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,High income,HIC,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Honduras,HND,0.956,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Hong Kong SAR, China",HKG,0.321,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Hungary,HUN,0.491,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Iceland,ISL,0.247,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,India,IND,0.979,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Indonesia,IDN,0.844,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Iran, Islamic Rep.",IRN,0.753,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Iraq,IRQ,0.726,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Ireland,IRL,0.491,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Israel,ISR,0.299,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Italy,ITA,0.325,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Jamaica,JAM,0.917,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Japan,JPN,0.64,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Jordan,JOR,0.732,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Kazakhstan,KAZ,0.283,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Kenya,KEN,0.79,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Korea, Rep.",KOR,0.908,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Kuwait,KWT,0.526,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Kyrgyz Republic,KGZ,0.676,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Lao PDR,LAO,0.894,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Latin America & Caribbean,LCN,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Latvia,LVA,0.428,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Lesotho,LSO,1.463,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Liberia,LBR,5.272,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Lithuania,LTU,0.263,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Low income,LIC,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Lower middle income,LMC,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Luxembourg,LUX,0.298,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Madagascar,MDG,1.627,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Malawi,MWI,2.095,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Malaysia,MYS,0.371,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Maldives,MDV,1.225,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mali,MLI,1.126,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Malta,MLT,0.512,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mauritania,MRT,1.036,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mauritius,MUS,0.318,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mexico,MEX,0.38,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Middle East & North Africa,MEA,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Moldova,MDA,0.355,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mongolia,MNG,0.979,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Montenegro,MNE,0.31,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Montserrat,MSR,0.784,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Morocco,MAR,0.641,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Mozambique,MOZ,1.932,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Myanmar,MMR,1.034,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Namibia,NAM,0.979,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Nepal,NPL,1.057,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Netherlands,NLD,0.394,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,New Zealand,NZL,0.319,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Nicaragua,NIC,0.935,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Niger,NER,4.064,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Nigeria,NGA,0.603,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,North America,NAC,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,North Macedonia,MKD,0.434,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Norway,NOR,0.446,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Oman,OMN,0.39,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Pakistan,PAK,0.928,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Panama,PAN,0.516,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Paraguay,PRY,0.585,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Peru,PER,0.696,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Philippines,PHL,0.586,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Poland,POL,0.381,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Portugal,PRT,0.278,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Qatar,QAT,0.466,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Romania,ROU,0.273,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Russian Federation,RUS,0.343,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Rwanda,RWA,1.808,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sao Tome and Principe,STP,0.702,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Saudi Arabia,SAU,0.329,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Senegal,SEN,0.677,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Serbia,SRB,0.608,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Seychelles,SYC,0.807,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sierra Leone,SLE,1.323,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Singapore,SGP,0.548,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sint Maarten (Dutch part),SXM,0.833,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Slovak Republic,SVK,0.434,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Slovenia,SVN,0.394,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,South Africa,ZAF,0.95,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,South Asia,SAS,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Spain,ESP,0.371,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sri Lanka,LKA,0.671,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,St. Kitts and Nevis,KNA,0.462,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,St. Lucia,LCA,1.836,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,St. Vincent and the Grenadines,VCT,0.785,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sub-Saharan Africa,SSF,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sudan,SDN,0.824,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Suriname,SUR,0.604,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Sweden,SWE,0.417,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Switzerland,CHE,0.333,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Taiwan, China",TWN,0.427,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Tajikistan,TJK,1.203,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Tanzania,TZA,0.976,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Thailand,THA,0.656,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Togo,TGO,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Trinidad and Tobago,TTO,0.501,..,..,..,..
